eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/07/2014 19:44:21
#Cmp ( order = Reference )
| C1         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C2         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C3         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C4         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C5         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C6         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C7         1,0uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C8         33uF        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C9         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C10        0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C13        1uF         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| D1         DIODESCH    ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| D2         15V         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| D3         DIODESCH    ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| IC1        LM3480      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| IC2        ATMEGA168-A ; TQFP32      ;             ;             ;             ;             ;             ;             ;             ;             
| IC3        LM20        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| IC4        ZXCT1009    ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| IC5        SI4500BDY   ;             ;             ;             ;             ;             ;             ;             ;             ;             
| IC6        SI4500BDY   ;             ;             ;             ;             ;             ;             ;             ;             ;             
| M1         MOTOR       ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P1         CONN_4      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_3X2    ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P3         CONN_4      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Q1         PBRC-M      ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R1         10k         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R2         5k6         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R3         1k5         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R4         100k        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
